species	method	proc_c	proc_a	units
DEA	MW	1010	2020	greenwt
DIS	BLL	3750	7500	greenwt
DSK	BT	500	1000	greenwt
DWD	BT	3750	7500	greenwt
DWD	MW	500	1000	greenwt
DWE	BT	500	1000	greenwt
EEL	FN	125	250	greenwt
EEU	BLL	35	70	greenwt
EEU	EP	242	484	greenwt
EEU	FN	370	741	greenwt
EGR	SN	101	202	greenwt
ELE	BT	9090	18180	greenwt
ELE	SN	2020	4040	greenwt
EMA	BT	3030	6060	greenwt
EMA	MW	22725	45450	greenwt
EMA	PS	90395	180790	greenwt
EMA	SN	410	820	greenwt
ESO	BT	772	1545	greenwt
ESO	SN	151	303	greenwt
FLA	BPT	500	1000	greenwt
FLA	BS	50	100	greenwt
FLA	BT	1818	3636	greenwt
FLA	D	101	202	greenwt
FLA	DS	250	500	greenwt
FLA	FN	50	100	greenwt
FLA	RN	125	250	greenwt
FLA	SN	505	1010	greenwt
FLO	BT	505	1010	greenwt
FRO	BLL	40	80	greenwt
FRO	BT	20200	40400	greenwt
FRO	DS	250	500	greenwt
FRO	MW	25250	50500	greenwt
GAR	BS	252	505	greenwt
GAR	L	250	500	greenwt
GFL	BT	303	606	greenwt
GFL	SN	161	323	greenwt
GMU	BS	530	1060	greenwt
GMU	DN	252	505	greenwt
GMU	RN	858	1717	greenwt
GMU	SN	1262	2525	greenwt
GSH	BLL	681	1363	greenwt
GSH	BT	5050	10100	greenwt
GSH	MW	500	1000	greenwt
GSH	SN	662	1324	greenwt
GSP	BLL	500	1000	greenwt
GSP	BT	353	707	greenwt
GUR	BLL	505	1010	greenwt
GUR	BPT	757	1515	greenwt
GUR	BT	2020	4040	greenwt
GUR	DI	757	1515	greenwt
GUR	DS	1515	3030	greenwt
GUR	H	1250	2500	greenwt
GUR	MW	500	1000	greenwt
GUR	RN	50	100	greenwt
GUR	SN	454	909	greenwt
GUR	T	151	303	greenwt
HAG	RLP	50	100	greenwt
HAK	BLL	151	303	greenwt
HAK	BT	40400	80800	greenwt
HAK	DL	250	500	greenwt
HAK	MPT	5000	10000	greenwt
HAK	MW	31815	63630	greenwt
HAK	SN	202	404	greenwt
HAP	BLL	757	1515	greenwt
HAP	BT	1908	3817	greenwt
HAP	DL	707	1414	greenwt
HAP	MW	500	1000	greenwt
HAP	SN	2525	5050	greenwt
HHS	BT	500	1000	greenwt
HHS	SN	250	500	greenwt
HJO	BT	500	1000	greenwt
HOK	BLL	116	232	greenwt
HOK	BT	83325	166650	greenwt
HOK	MPT	100000	200000	greenwt
HOK	MW	101000	202000	greenwt
HOK	SN	252	505	greenwt
HPB	BLL	1262	2525	greenwt
HPB	BT	1908	3817	greenwt
HPB	DL	1565	3131	greenwt
HPB	DS	125	250	greenwt
HPB	HL	750	1500	greenwt
HPB	MW	500	1000	greenwt
HPB	RLP	50	100	greenwt
HPB	SN	787	1575	greenwt
HPB	TL	666	1333	greenwt
HSI	BT	500	1000	greenwt
JAV	BT	6565	13130	greenwt
JAV	MW	5050	10100	greenwt
JDO	BLL	75	151	greenwt
JDO	BPT	159	318	greenwt
JDO	BS	50	100	greenwt
JDO	BT	555	1111	greenwt
JDO	DS	2020	4040	greenwt
JDO	SN	212	424	greenwt
JGU	BLL	75	151	greenwt
JGU	BT	2020	4040	greenwt
JGU	DL	250	500	greenwt
JMA	BLL	343	686	greenwt
JMA	BPT	1250	2500	greenwt
JMA	BS	50	100	greenwt
JMA	BT	28027	56055	greenwt
JMA	MW	25250	50500	greenwt
JMA	PS	121200	242400	greenwt
JMA	SN	249	498	greenwt
KAH	BLL	505	1010	greenwt
KAH	BPT	1000	2000	greenwt
KAH	BS	505	1010	greenwt
KAH	BT	9090	18180	greenwt
KAH	DN	303	606	greenwt
KAH	DS	500	1000	greenwt
KAH	PS	45450	90900	greenwt
KAH	RN	808	1616	greenwt
KAH	SN	1414	2828	greenwt
KAH	T	252	505	greenwt
KBB	H	7322	14645	greenwt
KBL	H	1565	3131	greenwt
KEL	SN	50	100	greenwt
KIN	BLL	454	909	greenwt
KIN	BPT	500	1000	greenwt
KIN	BS	227	454	greenwt
KIN	BT	454	909	greenwt
KIN	DL	454	909	greenwt
KIN	DS	75	151	greenwt
KIN	PS	3750	7500	greenwt
KIN	SN	757	1515	greenwt
KIN	T	125	250	greenwt
KOH	SN	50	100	greenwt
KOI	FN	48	96	greenwt
KOI	SN	224	448	greenwt
KTA	BLL	454	909	greenwt
KTA	TL	116	232	greenwt
LCH	BT	500	1000	greenwt
LDO	BT	2020	4040	greenwt
LDO	MW	505	1010	greenwt
LEA	BPT	500	1000	greenwt
LEA	BT	6565	13130	greenwt
LEA	CP	101	202	greenwt
LEA	DS	151	303	greenwt
LEA	RLP	20	40	greenwt
LES	H	106	212	greenwt
LFE	EP	191	383	greenwt
LFE	FN	688	1377	greenwt
LFE	FP	505	1010	greenwt
LIN	BLL	7575	15150	greenwt
LIN	BT	34592	69185	greenwt
LIN	CP	568	1136	greenwt
LIN	DL	757	1515	greenwt
LIN	MW	5858	11716	greenwt
LIN	RLP	146	292	greenwt
LIN	SN	2727	5454	greenwt
LIN	TL	750	1500	greenwt
LSO	BT	2215	4430	greenwt
LSO	SN	106	212	greenwt
MAK	BLL	500	1000	greenwt
MAK	BT	1000	2000	greenwt
MAK	MW	500	1000	greenwt
MDO	BT	454	909	greenwt
MIQ	BT	500	1000	greenwt
MIQ	MW	500	1000	greenwt
MOK	BT	1212	2424	greenwt
MOK	MW	500	1000	greenwt
MOK	SN	1515	3030	greenwt
MOO	MW	500	1000	greenwt
MOO	SLL	252	505	greenwt
MOY	BLL	500	1000	greenwt
MSG	D	5050	10100	greenwt
MUS	D	5000	10000	greenwt
NOT	BLL	936	1872	greenwt
NSD	BLL	505	1010	greenwt
NSD	SN	3131	6262	greenwt
NTU	BLL	10	10	count
NTU	DL	10	10	count
NTU	HL	10	10	count
NTU	PL	10	10	count
NTU	SLL	10	10	count
NTU	T	10	10	count
NTU	TL	10	10	count
OAR	MW	1181	2363	greenwt
OCT	BLL	25	50	greenwt
OCT	BT	1010	2020	greenwt
OCT	CP	116	232	greenwt
OCT	D	106	212	greenwt
OCT	FP	75	151	greenwt
OCT	RLP	404	808	greenwt
OCT	SN	40	80	greenwt
OEO	BT	40400	80800	greenwt
OFH	BLL	277	555	greenwt
OFH	BT	500	1000	greenwt
ONG	BT	1250	2500	greenwt
OPE	BT	5050	10100	greenwt
ORH	BT	37875	75750	greenwt
OSD	BLL	1512	3025	greenwt
OSD	BT	7575	15150	greenwt
OSD	CP	125	250	greenwt
OSD	DL	250	500	greenwt
OSD	MW	7575	15150	greenwt
OSD	RLP	107	214	greenwt
OSD	SLL	1000	2000	greenwt
OSD	SN	1161	2323	greenwt
OYS	D	404	808	greenwt
OYU	D	44541	89082	count
PAD	BT	252	505	greenwt
PAD	CP	191	383	greenwt
PAD	FP	277	555	greenwt
PAD	RLP	50	100	greenwt
PAD	RN	164	328	greenwt
PAD	SN	378	757	greenwt
PAH	MW	500	1000	greenwt
PAR	BS	202	404	greenwt
PAR	RN	196	393	greenwt
PAR	SN	505	1010	greenwt
PAU	D	1250	2500	greenwt
PAU	DI	2032	4065	greenwt
PAU	FP	125	250	greenwt
PAU	H	555	1111	greenwt
PHC	RLP	479	959	greenwt
PIG	BT	500	1000	greenwt
PIL	PS	8080	16160	greenwt
PIL	SN	50	101	greenwt
PMA	BLL	257	515	greenwt
PMA	SN	151	303	greenwt
POR	BLL	101	202	greenwt
POR	BT	90	181	greenwt
POR	SN	505	1010	greenwt
POS	MW	1262	2525	greenwt
PPI	H	101	202	greenwt
PTO	BLL	1281	2563	greenwt
QSC	BT	3750	7500	meatwt
QSC	D	1712	3424	meatwt
RAG	MW	500	1000	greenwt
RAT	BLL	921	1842	greenwt
RAT	BT	9090	18180	greenwt
RAT	MW	4545	9090	greenwt
RBM	BLL	134	269	greenwt
RBM	BT	1767	3535	greenwt
RBM	MW	4040	8080	greenwt
RBM	T	125	250	greenwt
RBT	BT	1250	2500	greenwt
RBT	MW	25250	50500	greenwt
RBY	BLL	30	60	greenwt
RBY	BT	12625	25250	greenwt
RBY	MW	10100	20200	greenwt
RCO	BLL	1109	2218	greenwt
RCO	BT	22220	44440	greenwt
RCO	CP	166	333	greenwt
RCO	DL	151	303	greenwt
RCO	MW	12120	24240	greenwt
RCO	RLP	101	202	greenwt
RCO	SN	202	404	greenwt
RCO	T	1010	2020	greenwt
RDO	MW	3750	7500	greenwt
RIB	BLL	4040	8080	greenwt
RIB	BT	1515	3030	greenwt
RIB	DL	250	500	greenwt
RIB	MW	2525	5050	greenwt
RIB	SN	136	272	greenwt
RMO	RLP	50	100	greenwt
RPE	BLL	45	90	greenwt
RRC	BLL	151	303	greenwt
RRC	SN	149	299	greenwt
RSK	BLL	1464	2929	greenwt
RSK	BT	1262	2525	greenwt
RSK	SN	101	202	greenwt
RSN	BLL	303	606	greenwt
RSN	BT	1290	2580	greenwt
RSN	DL	250	500	greenwt
RSN	SN	292	585	greenwt
RSN	TL	50	100	greenwt
RUD	BT	500	1000	greenwt
RUD	MW	1515	3030	greenwt
RUD	SLL	20	40	greenwt
SBO	BLL	500	1000	greenwt
SBO	BT	1515	3030	greenwt
SBW	BT	6333	12667	greenwt
SBW	MW	108575	217150	greenwt
SCA	D	8000	16000	meatwt
SCH	BLL	2777	5555	greenwt
SCH	BPT	500	1000	greenwt
SCH	BT	2525	5050	greenwt
SCH	DL	938	1876	greenwt
SCH	HL	250	500	greenwt
SCH	MW	364	729	greenwt
SCH	SN	5807	11615	greenwt
SCH	TL	353	707	greenwt
SCI	BT	515	1030	greenwt
SCO	BLL	500	1000	greenwt
SDO	BLL	500	1000	greenwt
SDO	BT	2525	5050	greenwt
SDO	MW	1250	2500	greenwt
SFE	EP	191	383	greenwt
SFE	FN	770	1541	greenwt
SFE	FP	404	808	greenwt
SFE	SN	252	505	greenwt
SFI	SN	101	202	greenwt
SFL	BT	1010	2020	greenwt
SFL	D	202	404	greenwt
SFL	DS	656	1313	greenwt
SFL	SN	179	359	greenwt
SHA	BT	750	1500	greenwt
SHF	SLL	50	100	greenwt
SHF	SN	250	500	greenwt
SKA	BLL	1431	2863	greenwt
SKA	BT	909	1818	greenwt
SKA	DL	250	500	greenwt
SKA	MW	500	1000	greenwt
SKA	RN	250	500	greenwt
SKA	SN	101	202	greenwt
SKI	BLL	376	752	greenwt
SKI	BT	6060	12120	greenwt
SKI	DL	75	151	greenwt
SKI	MW	3030	6060	greenwt
SKI	SN	2020	4040	greenwt
SKJ	PL	500	1000	greenwt
SKJ	PS	73225	146450	greenwt
SKJ	SN	50	100	greenwt
SKJ	T	277	555	greenwt
SLK	BT	5000	10000	greenwt
SNA	BLL	984	1969	greenwt
SNA	BPT	7575	15150	greenwt
SNA	BS	353	707	greenwt
SNA	BT	6060	12120	greenwt
SNA	DS	4040	8080	greenwt
SNA	HL	176	353	greenwt
SNA	RN	40	81	greenwt
SNA	SLL	125	250	greenwt
SNA	SN	1010	2020	greenwt
SND	BLL	630	1260	greenwt
SND	BT	750	1500	greenwt
SNI	MW	12500	25000	greenwt
SOL	BT	500	1000	greenwt
SOL	SN	50	101	greenwt
SOR	BT	3484	6969	greenwt
SPD	BLL	7139	14279	greenwt
SPD	BT	25250	50500	greenwt
SPD	CP	125	250	greenwt
SPD	DL	250	500	greenwt
SPD	MW	10100	20200	greenwt
SPD	RLP	125	250	greenwt
SPD	SN	3817	7635	greenwt
SPE	BLL	1010	2020	greenwt
SPE	BT	3393	6787	greenwt
SPE	CP	39	79	greenwt
SPE	DL	50	101	greenwt
SPE	HL	250	500	greenwt
SPE	MW	500	1000	greenwt
SPE	RLP	30	60	greenwt
SPE	SN	176	353	greenwt
SPI	BT	500	1000	greenwt
SPO	BLL	106	212	greenwt
SPO	BPT	500	1000	greenwt
SPO	BT	954	1908	greenwt
SPO	DS	151	303	greenwt
SPO	MW	1250	2500	greenwt
SPO	RN	404	808	greenwt
SPO	SN	3535	7070	greenwt
SPZ	BT	404	808	greenwt
SPZ	DS	250	500	greenwt
SPZ	SN	30	60	greenwt
SQU	BT	22725	45450	greenwt
SQU	MW	25250	50500	greenwt
SSH	BT	500	1000	greenwt
SSI	BT	606	1212	greenwt
SSK	BLL	1844	3688	greenwt
SSK	BT	1515	3030	greenwt
SSK	MW	500	1000	greenwt
SSK	SN	80	161	greenwt
SSO	BT	40400	80800	greenwt
SSP	BT	500	1000	greenwt
STA	BT	2868	5736	greenwt
STA	MW	750	1500	greenwt
STA	SN	757	1515	greenwt
STN	BLL	10	10	count
STN	DL	10	10	count
STN	HL	10	10	count
STN	PL	10	10	count
STN	SLL	10	10	count
STN	T	10	10	count
STN	TL	10	10	count
STR	SN	125	250	greenwt
STU	MW	1250	2500	greenwt
SUR	BT	500	1000	greenwt
SUR	D	409	818	greenwt
SUR	DI	2525	5050	greenwt
SUR	H	1818	3636	greenwt
SUR	SN	50	100	greenwt
SWA	BLL	500	1000	greenwt
SWA	BT	32825	65650	greenwt
SWA	MW	22725	45450	greenwt
SWA	SN	395	791	greenwt
SWO	BLL	10	10	count
SWO	DL	10	10	count
SWO	HL	10	10	count
SWO	MW	500	1000	greenwt
SWO	PL	10	10	count
SWO	SLL	11	11	count
SWO	T	10	10	count
SWO	TL	10	10	count
SYN	BLL	500	1000	greenwt
TAR	BLL	1010	2020	greenwt
TAR	BPT	1250	2500	greenwt
TAR	BT	5807	11615	greenwt
TAR	CP	125	250	greenwt
TAR	DL	260	520	greenwt
TAR	DS	1262	2525	greenwt
TAR	MW	1000	2000	greenwt
TAR	RLP	250	500	greenwt
TAR	SN	1262	2525	greenwt
THR	BT	500	1000	greenwt
THR	MW	500	1000	greenwt
TOA	BLL	12500	25000	greenwt
TRE	BLL	267	535	greenwt
TRE	BPT	4090	8181	greenwt
TRE	BS	1010	2020	greenwt
TRE	BT	9090	18180	greenwt
TRE	DS	657	1313	greenwt
TRE	HL	250	500	greenwt
TRE	PS	50000	100000	greenwt
TRE	RN	181	363	greenwt
TRE	SN	909	1818	greenwt
TRU	BLL	757	1515	greenwt
TRU	BT	126	252	greenwt
TRU	CP	101	202	greenwt
TRU	DL	500	1000	greenwt
TRU	RLP	252	505	greenwt
TRU	SN	656	1313	greenwt
TUA	D	585	1171	greenwt
TUR	BT	227	454	greenwt
VCO	BLL	500	1000	greenwt
WAR	BT	25250	50500	greenwt
WAR	MW	25250	50500	greenwt
WAR	SN	2777	5555	greenwt
WHE	BT	500	1000	greenwt
WIT	BT	500	1000	greenwt
WOE	BT	1250	2500	greenwt
WSE	CP	101	202	greenwt
WSE	RLP	50	101	greenwt
WSE	SN	125	250	greenwt
WSQ	BT	252	505	greenwt
WSQ	MW	101	202	greenwt
WWA	BT	29795	59590	greenwt
WWA	MW	2171	4343	greenwt
WWA	SN	1111	2222	greenwt
YBF	BS	50	100	greenwt
YBF	BT	257	515	greenwt
YBF	SN	252	505	greenwt
YEM	BS	707	1414	greenwt
YEM	DN	202	404	greenwt
YEM	SN	286	573	greenwt
YFN	BLL	11	11	count
YFN	DL	11	11	count
YFN	HL	11	11	count
YFN	PL	11	11	count
YFN	SLL	15	15	count
YFN	T	11	11	count
YFN	TL	11	11	count
OTH	unknown	10000	100000	unknown
